beta,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
0.9,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
0.92,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
0.94,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
0.95,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
0.96,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
0.98,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
1.0,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.00479671
