alpha,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
1.0,0.316228,0.271758,0.0,0.176471,0.126906,0.165919,0.0,0.0
1.5,0.316228,0.270768,0.0,0.176471,0.27129,0.283687,0.0,0.0
2.0,0.316228,0.270274,0.0,0.176471,0.451856,0.447059,0.00479671,0.0
2.5,0.316228,0.269977,0.0,0.176471,0.655064,0.639358,0.0157056,0.0
3.0,0.316228,0.26978,0.0,0.176471,0.869909,0.847107,0.0228022,0.0
3.5,0.316228,0.269639,0.0,0.176471,1.0884,1.06082,0.0275856,0.0
4.0,0.316228,0.269533,0.0,0.176471,1.30521,1.27428,0.0309258,0.0
