alpha,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
1.0,0.316228,0.230565,0.0,0.384083,0.124629,0.24803,0.0,0.0
1.5,0.316228,0.229867,0.0,0.384083,0.26665,0.368279,0.0,0.0
2.0,0.316228,0.229519,0.0,0.384083,0.444571,0.532388,0.0,0.0
2.5,0.316228,0.22931,0.0,0.384083,0.645167,0.724324,0.0,0.0
3.0,0.316228,0.22917,0.0,0.384083,0.857619,0.931186,0.0,0.0
3.5,0.316228,0.229071,0.0,0.384083,1.07401,1.14383,0.0,0.0
4.0,0.316228,0.228996,0.0,0.384083,1.28903,1.35624,0.0,0.0
