alpha,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
1.0,0.316228,0.240805,0.0,0.0,0.128909,0.0590414,0.0698674,0.063422
1.5,0.316228,0.235173,0.0,0.0,0.275364,0.170954,0.104409,0.0906413
2.0,0.316228,0.228166,0.0,0.2,0.451018,0.458154,0.0,0.0
2.5,0.316228,0.219727,0.0,0.448276,0.642168,0.746261,0.0,0.0
3.0,0.316228,0.210079,0.0,0.6,0.845211,0.998368,0.0,0.0
3.5,0.316228,0.199354,0.0,0.698113,1.05299,1.23527,0.0,0.0
4.0,0.316228,0.187784,0.0,0.764706,1.26045,1.46154,0.0,0.0
