scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms
attack_saturation,10,0.630957,0.01,1,5.71437,0.0321334,0.857218,0.0475278,3.55717,0,0,0,1665.55
attack_saturation,10,0.630957,0.01,1,5.73752,0.0321134,0.860691,0.0473833,3.56106,0,0,0,1614.12
attack_saturation,10,0.630957,0.01,1,5.82192,0.0318326,0.873351,0.0468636,3.57511,0,0,0,1626.07
attack_saturation,10,0.630957,0.01,1,5.76071,0.0320161,0.864169,0.0472394,3.56493,0,0,0,1619.64
attack_saturation,10,0.630957,0.01,1,5.77589,0.0319246,0.866445,0.0471456,3.56746,0,0,0,1663.63
attack_saturation,20,0.398107,0.01,0.865687,8.88827,0.0258244,1.3333,0.0322333,3.85182,0,0,0,1638.31
attack_saturation,20,0.398107,0.01,0.834887,9.2234,0.0253682,1.38357,0.0309809,3.85171,0,0,0,1622.67
attack_saturation,20,0.398107,0.01,0.840171,9.14121,0.0254236,1.37124,0.0312572,3.8491,0,0,0,1626.53
attack_saturation,20,0.398107,0.01,0.84244,9.14572,0.0254878,1.37192,0.0312689,3.85252,0,0,0,1619.87
attack_saturation,20,0.398107,0.01,0.845147,9.11931,0.0255317,1.36796,0.0313691,3.85293,0,0,0,1653.63
attack_saturation,40,0.158489,0.01,0.342094,22.5716,0.016255,3.3858,0.0121296,3.83957,0,0,0,1640.65
attack_saturation,40,0.158489,0.01,0.350348,22.0368,0.0164491,3.30558,0.0124323,3.83968,0,0,0,1635.2
attack_saturation,40,0.158489,0.01,0.331204,23.2799,0.0159856,3.49205,0.0117453,3.8377,0,0,0,1620.32
attack_saturation,40,0.158489,0.01,0.336832,22.9786,0.0161436,3.44686,0.0119161,3.84192,0,0,0,1646.19
attack_saturation,40,0.158489,0.01,0.34612,22.3326,0.0163567,3.34996,0.0122667,3.84081,0,0,0,1641.83
